001_a_clean_high_detail_composite_infographic_image_w.png	ru	1677	1582	25 ИНДИЙСКИЙ СЛОН (Elephas maximus indicus) ASIAN ELEPHANT АРЕАЛ ОБИТАНИЯ / HABITAT: Южная и Юго-Восточная Азия South and Southeast Asia ПИТАНИЕ / DIET: Травы, листья, кора, фрукты
002_a_composite_infographic_poster_image_showing_8_ani.png	ru	866	1241	17 ИБЕРИЙСКАЯ РЫСЬ (Lynx pardinus) АРЕАЛ ОБИТАНИЯ: Юго-замад Испании и Португали ПИТАНИЕ: Кролики, птицы, грызуны УНИКАЛЬНЫЕ ОСОБЕННОСТИ: Имеет кисточки на ушах, Самая редкая кошка
003_a_composite_poster_image_a_grid_of_8_wildlife_inf.png	ru	1725	1572	01 СИНИЙ КИТ (Balaenoptera musculus) BLUE WHALE АРЕАЛ ОБИТАНИЯ / НАВІТАТ: Мировой океан World Ocean ПИТАНИЕ / DIET: Криль, мепкие ракообразные Krill, small crustaceans УНИКАЛЬНЫЕ О
004_a_detailed_infographic_collage_poster_an_overall.png	ru	3291	704	1 ЗОНДСКИЙ ПАНГОЛИН (Manis jovanico) Кто-бастовал Аз: ПИТАННЕ: клубся при списности. КРИТИЧЕСКИ НА ГРАНИ ИСЧЕЗНОВЕНИЯ 5 СУМАТРАНСКИЙ ТИГР (Panthere tigris sumatrae) ASKAHER Остров 
005_a_detailed_infographic_image_a_grid_of_eight_wild.png	ru	1668	1502	33 БЕЛЫЙ МЕДВЕДЬ (Ursus maritimus) POLAR BEAR АРЕАЛ ОБИТАНИЯ / HABIAT: Арктика Arctic region ПИТАНИЕ / DIET: Тюлени, рыба Seals, fish УНИКАЛЬНЫЕ ОСОБЕННОСТИ / UNIQUE TRAITS: Самый 
006_a_detailed_infographic_poster._overall_scene_a_ve.png	ru	265	257	25 ИНДИЙСКИЙ СЛОН (Elephas maximus indicus) ASIAN ELEPHANT Южная и Юго-Восточная Азия South and Southeast Asia ПИТАНИЕ / DIET: Травы, листья, кора, фрукты Grasses, leaves, bark, fr
007_a_detailed_infographic_poster_style_scene._overall.png	ru	351	16	ИБЕРИЙСКАЯ РЫСЬ Lynx pardinus АРЕАЛ ОБИТАНИЯ: Юго-запад Испании и Португалии ПИТАНИЕ: Кролики, птицы, грызуны ! УНИКАЛЬНЫЕ ОСОБЕННОСТИ: Имеет кисточки на ушах. Самая редкая кошка в
008_a_high_detail_infographic_poster_card_grid_over.png	ru	1783	1629	17 ШЁЛКОВАЯ АКУЛА (Carcharhinus falciformis) SILKY SHARK АРЕАЛ ОБИТАНИЯ / НАВІТАТ: Тропические и тёплые воды всего мира Tropical and warm waters worldwide ПИТАНИЕ / DIET: Рыба, кал
009_a_high_detail_infographic_poster_chart_style_ima.png	ru	1708	1582	25 АМУРСКИЙ ТИГР (Panthera tigris altaica) AMUR TIGER АРЕАЛ ОБИТАНИЯ / НАВІТАТ: Дальний Восток России, северо-восток Китая Russian Far East, northeast China ПИТАНИЕ / DIET: Кабаны,
010_a_high_detail_infographic_poster_collage_a_grid_o.png	ru	1833	2264	01 ЗОНДСКИЙ ПАНГОЛИН (Manis javanica) АРЕАЛ ОБИТАННЯ: Нидонезия, Малайзия, Мурлеьк, термиты УНИКАЛЬНЫЕ ОСОБЕННОСТИ- с чищуси Сводочивлется в шар для зашакты. Бромерство, торговля к
011_a_high_detail_infographic_poster_grid_a_4x2_block.png	ru	1621	1537	73 ГИРЛЯНДОВАЯ АКУЛА (Somniosus microcephalus) GREENLAND SHARK АРЕАЛ ОБИТАНИЯ / НАВІТАТ Арктические и субарктические ВОды Arctic and subarctic waters ПИТАНИЕ / DIET: Рыба, тюлени, 
012_a_high_resolution_infographic_poster_collage_of_en.png	ru	1852	1680	09 АТЛАНТИЧЕСКИЙ ТУПИК (Fratercula arctica) ATLANTIC PUFFIN АРЕАЛ ОБИТАНИЯ / НАВІТАТ: Северная Атлантика North Atlantic ПИТАНИЕ / DIET: Мелкая рыба: песчанка, Small fish: sand eels
013_a_large_composite_poster_infographic_sheet_over.png	ru	501	1027	ЗОНДСКИЙ ПАНГОЛИН Mint orone SUNDA PANGOLIN matt virac АМУРСКИЙ ЛЕОПАРД PORTIO ВЫ НОКЕТЕ ПОМОЧЬ СУМАТРАНСКИЙ ТИГР Porthora tigris sumatrae YOU CAN HELM SUMATRAN TIGER Panthero tigr
014_a_super_detailed_infographic_poster_collage_grid.png	ru	173	135	DUNES ON ЗИНУЖИНА 9 KHEX* ECOCO HONOH "HOLAUOU -ИLD0HH39000 07 ЗІНИЧУИНА •SHIU 9L кисамони 19D0dJK ЗІЧИЧИЧЖИНА 8 киинтих анонсвони ЗІНЧИНА (0s0dı3o) L VALOVEN OUR BURN ЗАЧИНИНА CAN
015_a_wide_composite_infographic_poster_grid_scene_i.png	ru	1827	1640	89 АМУРСКИЙ ЛЕОПАРД (Panthera pardus orientalis) AMUR LEOPARD АРЕАЛ ОБИТАНИЯ / НІТАТ: Дальний Восток России, Китай Russian Far East, China ПИТАНИЕ / DIET: Косули, изюбри, кабаны, з
